City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,crane,31.3974,-102.3501,97.93,18,0,11.45,US,1690220199
286,necochea,-38.5473,-58.7368,48.87,55,72,8.66,AR,1690220199
287,pingliang,35.5392,106.6861,69.98,59,1,3.53,CN,1690220200
288,holualoa,19.6228,-155.9522,76.84,83,40,3.44,US,1690220032
289,tanout,14.9709,8.8879,94.32,34,23,8.57,NE,1690220200
290,gisborne,-38.6533,178.0042,46.72,86,10,5.79,NZ,1690220200
291,jimma,7.6667,36.8333,61.38,96,100,2.93,ET,1690220200
292,kerikeri,-35.2268,173.9474,45.91,92,29,4.92,NZ,1690220201
293,carnarvon,-24.8667,113.6333,60.96,74,65,11.77,AU,1690220201
294,manthani,18.65,79.6667,77.56,92,100,11.1,IN,1690220201
295,shetpe,44.1667,52.1167,87.17,33,79,10.13,KZ,1690220223
296,college,64.8569,-147.8028,79.2,68,40,3.44,US,1690220223
297,nanakuli,21.3906,-158.1547,80.55,83,100,5.75,US,1690220223
298,mandalay,21.9747,96.0836,86.11,64,73,11.72,MM,1690220224
299,linhares,-19.3911,-40.0722,77.67,53,3,8.86,BR,1690220224
300,zhezqazghan,47.7833,67.7667,84.4,20,68,15.57,KZ,1690220224
301,mogadishu,2.0371,45.3438,77.09,82,17,17.29,SO,1690220038
302,caidian,30.5833,114.0333,86.13,78,95,4.27,CN,1690220225
303,yankton,42.8711,-97.3973,84.11,65,0,10.36,US,1690220225
304,mahajanga,-15.7167,46.3167,75.22,83,20,4.61,MG,1690220225
305,podvelka,46.5869,15.3306,82.02,83,99,5.28,SI,1690220225
306,san patricio,28.017,-97.5169,97.16,39,23,10.42,US,1690220226
307,tobelo,1.7284,128.0095,78.22,86,52,8.48,ID,1690219951
308,porto novo,6.4965,2.6036,78.62,93,100,6.89,BJ,1690220156
309,namie,37.4833,141.0,75.72,94,68,3.76,JP,1690220227
310,funadhoo,6.15,73.2667,82.63,81,78,10.83,MV,1690220227
311,minas de marcona,-15.2119,-75.1103,63.63,58,12,14.88,PE,1690220227
312,cide,41.8921,33.0044,72.77,80,0,6.78,TR,1690220228
313,northam,51.0333,-4.2167,62.65,75,67,11.01,GB,1690220228
314,margate,51.3813,1.3862,61.7,77,100,5.99,GB,1690220228
315,manadhoo,5.7667,73.3833,82.38,81,85,9.95,MV,1690220229
316,darwin,-12.4611,130.8418,63.9,28,6,10.0,AU,1690220229
317,juneau,58.3019,-134.4197,59.11,97,75,3.44,US,1690219985
318,rio brilhante,-21.8019,-54.5464,87.85,26,0,8.19,BR,1690220230
319,ola,59.5833,151.2833,52.77,74,5,3.27,RU,1690220230
320,turhal,40.3875,36.0811,65.59,87,27,4.72,TR,1690220230
321,zhabinka,52.1984,24.0115,71.6,59,84,8.43,BY,1690220230
322,alice springs,-23.7,133.8833,40.55,75,0,9.22,AU,1690220231
323,saint-pierre,-21.3393,55.4781,69.48,83,0,4.61,RE,1690220231
324,talnakh,69.4865,88.3972,58.21,71,78,1.68,RU,1690219981
325,tolanaro,-25.0319,46.9987,68.07,94,20,4.61,MG,1690220232
326,sarakhs,36.5449,61.1577,91.81,15,0,10.16,IR,1690220232
327,howard springs,-12.497,131.047,63.82,42,6,9.44,AU,1690220232
328,beloyarskiy,63.7119,66.6722,60.17,93,95,2.68,RU,1690220232
329,ventnor,50.5948,-1.2037,63.48,82,93,12.84,GB,1690220232
330,bereeda,11.8704,51.0579,87.31,57,100,6.2,SO,1690220233
331,nizhniy odes,63.6445,54.856,61.61,68,91,4.45,RU,1690220233
332,qarazhal,48.0078,70.7903,78.1,25,44,13.31,KZ,1690220233
333,saurimo,-9.6608,20.3916,72.79,24,2,1.3,AO,1690220233
334,ambon,-3.6954,128.1814,82.24,92,40,4.61,ID,1690220054
335,moratuwa,6.773,79.8816,82.42,90,95,5.91,LK,1690220234
336,ishikawa,26.4233,127.8214,84.16,83,40,5.75,JP,1690220234
337,berezovo,63.9381,65.0419,62.69,82,98,2.55,RU,1690220234
338,hauterive,46.0901,3.4459,74.16,50,99,9.48,FR,1690220234
339,kirensk,57.7853,108.1119,64.27,77,72,1.74,RU,1690220235
340,hotan,37.0997,79.9269,88.65,23,56,3.91,CN,1690220235
341,brookings,44.3114,-96.7984,86.45,53,0,13.8,US,1690220156
342,gordonvale,-17.0936,145.7842,60.58,71,11,5.19,AU,1690220235
343,zhumysker,49.3333,49.4,79.2,45,100,9.84,KZ,1690220235
344,lospalos,-8.5186,127.0025,65.48,83,87,7.47,TL,1690220235
345,goodlands,-20.035,57.6431,73.42,83,8,1.99,MU,1690220236
346,belmonte,-15.8631,-38.8828,76.1,65,29,11.43,BR,1690220236
347,remire-montjoly,4.9167,-52.2667,82.44,78,0,3.44,GF,1690220236
348,xining,36.6167,101.7667,61.21,51,82,2.91,CN,1690220236
349,macas,-2.3167,-78.1167,82.26,47,69,4.23,EC,1690220237
350,bijar,35.8668,47.6051,79.38,17,2,9.28,IR,1690220237
351,morehead city,34.7229,-76.726,87.85,80,40,5.01,US,1690220237
352,seminole,28.7086,-81.2081,95.22,58,40,27.63,US,1690220237
353,north bend,43.4065,-124.2243,74.25,72,0,5.75,US,1690220238
354,pontes e lacerda,-15.2261,-59.3353,96.6,18,0,3.65,BR,1690220238
355,kalyani,22.9833,88.4833,82.31,84,20,7.43,IN,1690220238
356,badagry,6.4167,2.8833,75.36,91,100,10.27,NG,1690220238
357,badger,64.8,-147.5333,79.12,70,40,3.44,US,1690220238
358,lata,40.1629,-8.3327,71.08,52,2,12.24,PT,1690220239
359,xinyuan,37.3,99.0,45.91,90,98,3.89,CN,1690220239
360,bukama,-9.2,25.85,80.47,29,0,1.16,CD,1690220239
361,rongelap,11.1635,166.8941,83.64,75,93,19.01,MH,1690220239
362,betio village,1.358,172.9211,80.64,76,10,10.09,KI,1690220240
363,yigo village,13.5361,144.8886,79.92,94,0,8.05,GU,1690220240
364,altamira,-3.2033,-52.2064,93.29,43,20,4.61,BR,1690219981
365,dryden,49.7833,-92.7503,75.49,46,0,8.05,CA,1690220240
366,mae hong son,19.3003,97.9685,75.42,93,92,2.13,TH,1690220241
367,nova xavantina,-14.6667,-52.35,93.61,21,0,4.47,BR,1690220059
